Folder,Batch,Corrected Batch,Model,Acc1,Acc2,Acc3,Acc4,Acc5,Acc6,Acc7,Acc8,Acc9,Acc10,Avg Last 3,Val Acc1,Val Acc2,Val Acc3,Val Acc4,Val Acc5,Val Acc6,Val Acc7,Val Acc8,Val Acc9,Val Acc10,Avg Last 3
Peach,0,1,1,0.468338013,0.455413818,0.522315979,0.712242126,0.86756897,0.878959656,0.890777588,0.895973206,0.902198792,0.906097412,0.901423136,0.410316467,0.646888733,0.716804504,0.74369812,0.877876282,0.857849121,0.833450317,0.820549011,0.807899475,0.788200378,0.805549622
Peach,1,2,1,0.837554932,0.692382813,0.851249695,0.870536804,0.879417419,0.871009827,0.892982483,0.89390564,0.885307312,0.882820129,0.88734436,0.523384094,0.520584106,0.515953064,0.627182007,0.492179871,0.53351593,0.528358459,0.579055786,0.51423645,0.533058167,0.542116801
Peach,2,3,1,0.708282471,0.749176025,0.692184448,0.77179718,0.800697327,0.76537323,0.776863098,0.694511414,0.721389771,0.735214233,0.717038472,0.613777161,0.538223267,0.627830505,0.613082886,0.563110352,0.575576782,0.543235779,0.541358948,0.531181335,0.518486023,0.530342102
Peach,3,4,1,0.792762756,0.858032227,0.874099731,0.865249634,0.829612732,0.724945068,0.807144165,0.839584351,0.86946106,0.889373779,0.86613973,0.528579712,0.528579712,0.7212677,0.528579712,0.559509277,0.528579712,0.561088562,0.568557739,0.562362671,0.646072388,0.592330933
Peach,4,5,1,0.805854797,0.83946991,0.8568573,0.840766907,0.845161438,0.866279602,0.875114441,0.88079834,0.882492065,0.887023926,0.88343811,0.677955627,0.64806366,0.765609741,0.656311035,0.718048096,0.700874329,0.707435608,0.696037292,0.706161499,0.696357727,0.69951884
Peach,5,6,1,0.756752014,0.79499054,0.852622986,0.864173889,0.86870575,0.875740051,0.872360229,0.863006592,0.862709045,0.86756897,0.864428202,0.52130127,0.474472046,0.611801147,0.653396606,0.681747437,0.693984985,0.688232422,0.712265015,0.689529419,0.700683594,0.700826009
Peach,6,7,1,0.806678772,0.860679626,0.867240906,0.884231567,0.901863098,0.903297424,0.90512085,0.902313232,0.895568848,0.897521973,0.898468018,0.787216187,0.734718323,0.727294922,0.691925049,0.693611145,0.695747375,0.70136261,0.694847107,0.713485718,0.69921875,0.702517192
Peach,7,8,1,0.838310242,0.798194885,0.88432312,0.888000488,0.893951416,0.895797729,0.900749207,0.901603699,0.903572083,0.902923584,0.902699788,0.407852173,0.71710968,0.746520996,0.756507874,0.770881653,0.768180847,0.784179688,0.780799866,0.805236816,0.782691956,0.789576213
Peach,8,9,1,0.698402405,0.707695007,0.716316223,0.728927612,0.775772095,0.785560608,0.788291931,0.796302795,0.813774109,0.813247681,0.807774862,0.625419617,0.624603271,0.624015808,0.642112732,0.619697571,0.68056488,0.627952576,0.671150208,0.640579224,0.671882629,0.66120402
Peach,9,10,1,0.802124023,0.842895508,0.865699768,0.87689209,0.878860474,0.883079529,0.885787964,0.889183044,0.892723083,0.894256592,0.89205424,0.770706177,0.758705139,0.723709106,0.724655151,0.718933105,0.722793579,0.735618591,0.735946655,0.751068115,0.756019592,0.747678121
Peach,10,11,1,0.798950195,0.85647583,0.883346558,0.901687622,0.902656555,0.898475647,0.90662384,0.905166626,0.910720825,0.912635803,0.909507751,0.628578186,0.638397217,0.697921753,0.681999207,0.798332214,0.768333435,0.810005188,0.803276062,0.812995911,0.815460205,0.810577393
Peach,11,12,1,0.638832092,0.782356262,0.812156677,0.873016357,0.893043518,0.895149231,0.897163391,0.899551392,0.900222778,0.902107239,0.900627136,0.605537415,0.781578064,0.737213135,0.678565979,0.686805725,0.638191223,0.66217041,0.633087158,0.645080566,0.626754761,0.634974162
Peach,12,13,1,0.859405518,0.893241882,0.904495239,0.91129303,0.91342926,0.915504456,0.909690857,0.896858215,0.907615662,0.903709412,0.902727763,0.695602417,0.662223816,0.62348938,0.572418213,0.564331055,0.555030823,0.574371338,0.56047821,0.576004028,0.556289673,0.564257304
Peach,13,14,1,0.888847351,0.906715393,0.9116745,0.914932251,0.915000916,0.916130066,0.915977478,0.915779114,0.917221069,0.917404175,0.916801453,0.6824646,0.722602844,0.695884705,0.718765259,0.708251953,0.728820801,0.715324402,0.738342285,0.724151611,0.739959717,0.734151204
Peach,14,15,1,0.912750244,0.916259766,0.920173645,0.920951843,0.923835754,0.92288208,0.920585632,0.92162323,0.921875,0.924156189,0.922551473,0.691612244,0.692863464,0.703323364,0.709281921,0.723701477,0.720191956,0.744606018,0.734916687,0.759544373,0.738677979,0.744379679
Peach,15,16,1,0.907867432,0.91759491,0.921722412,0.924499512,0.927589417,0.929000854,0.927429199,0.920265198,0.925430298,0.924201965,0.923299154,0.778427124,0.779037476,0.800636292,0.830451965,0.867202759,0.87437439,0.882926941,0.884994507,0.889778137,0.888504028,0.887758891
Peach,16,17,1,0.891456604,0.905838013,0.910835266,0.912307739,0.914573669,0.91608429,0.918441772,0.917655945,0.917739868,0.917457581,0.917617798,0.726974487,0.727912903,0.733406067,0.733009338,0.739189148,0.734016418,0.738952637,0.725921631,0.733856201,0.692016602,0.717264811
Peach,17,18,1,0.847953796,0.918380737,0.925361633,0.927474976,0.928642273,0.931861877,0.9323349,0.933555603,0.934417725,0.930999756,0.932991028,0.821136475,0.814338684,0.817596436,0.805297852,0.807426453,0.80216217,0.810714722,0.799346924,0.80745697,0.804367065,0.803723653
Peach,18,19,1,0.872413635,0.900749207,0.906959534,0.909767151,0.911552429,0.912658691,0.913154602,0.912734985,0.907936096,0.897514343,0.906061808,0.645057678,0.698829651,0.741203308,0.73513031,0.755126953,0.747550964,0.752548218,0.765548706,0.769081116,0.79158783,0.775405884
Peach,19,20,1,0.874603271,0.9090271,0.910842896,0.912063599,0.911819458,0.909004211,0.898155212,0.894287109,0.905532837,0.901115417,0.900311788,0.886283875,0.887077332,0.821098328,0.817138672,0.812324524,0.820625305,0.812713623,0.830299377,0.804756165,0.824539185,0.819864909
Peach,20,21,1,0.883918762,0.89100647,0.895050049,0.898544312,0.905776978,0.905815125,0.90788269,0.906562805,0.906890869,0.903335571,0.905596415,0.663505554,0.639930725,0.647109985,0.643669128,0.660614014,0.650398254,0.690513611,0.671157837,0.697624207,0.680152893,0.682978312
Peach,21,22,1,0.851654053,0.906204224,0.90864563,0.907646179,0.909477234,0.907539368,0.909194946,0.912033081,0.911209106,0.911598206,0.911613464,0.871154785,0.869667053,0.867408752,0.87474823,0.870285034,0.880012512,0.878944397,0.882736206,0.880447388,0.883857727,0.882347107
Peach,22,23,1,0.7525177,0.774116516,0.812232971,0.823928833,0.835388184,0.844306946,0.851570129,0.855278015,0.86026001,0.861824036,0.859120687,0.607414246,0.498855591,0.664619446,0.674491882,0.675430298,0.666130066,0.634643555,0.631614685,0.624206543,0.643386841,0.633069356
Peach,23,24,1,0.715797424,0.776802063,0.830352783,0.853790283,0.87197876,0.885513306,0.890579224,0.891365051,0.894042969,0.89679718,0.8940684,0.805236816,0.778312683,0.821166992,0.819450378,0.825370789,0.821487427,0.819000244,0.820114136,0.819374084,0.820228577,0.819905599
Peach,24,25,1,0.682952881,0.743598938,0.794067383,0.820472717,0.845611572,0.869995117,0.890129089,0.902755737,0.906364441,0.905906677,0.905008952,0.712089539,0.660232544,0.683998108,0.567596436,0.581344604,0.583099365,0.571121216,0.573890686,0.566932678,0.578620911,0.573148092
Peach,25,26,1,0.684593201,0.862510681,0.88319397,0.898727417,0.91002655,0.914909363,0.918075562,0.921142578,0.923446655,0.924873352,0.923154195,0.700065613,0.662521362,0.681549072,0.713996887,0.741615295,0.753585815,0.7631073,0.771034241,0.775886536,0.778175354,0.775032043
Peach,26,27,1,0.810020447,0.79385376,0.899436951,0.904624939,0.906593323,0.910484314,0.912071228,0.915054321,0.916877747,0.918174744,0.916702271,0.666854858,0.545204163,0.588401794,0.598526001,0.600578308,0.598815918,0.599395752,0.601371765,0.603363037,0.604949951,0.603228251
Peach,27,28,1,0.877304077,0.892127991,0.896965027,0.902275085,0.905357361,0.908256531,0.910339355,0.913108826,0.913734436,0.913642883,0.913495382,0.626068115,0.616844177,0.611618042,0.607009888,0.601364136,0.597106934,0.578521729,0.55708313,0.535209656,0.489074707,0.527122498
Peach,28,29,1,0.841583252,0.890472412,0.898925781,0.901519775,0.904602051,0.907310486,0.908920288,0.910140991,0.910621643,0.90965271,0.910138448,0.630828857,0.628944397,0.629096985,0.627784729,0.620361328,0.612350464,0.583953857,0.575042725,0.550270081,0.55329895,0.559537252
Peach,29,30,1,0.887397766,0.906600952,0.912773132,0.914131165,0.914527893,0.916854858,0.917816162,0.918579102,0.916290283,0.914497375,0.916455587,0.814483643,0.826850891,0.843200684,0.835464478,0.845558167,0.846496582,0.8542099,0.852416992,0.858139038,0.841949463,0.850835164
Peach,30,31,1,0.888381958,0.851501465,0.91292572,0.926467896,0.926696777,0.926475525,0.925193787,0.926452637,0.925865173,0.928764343,0.927027384,0.682533264,0.811782837,0.676300049,0.634063721,0.632202148,0.626701355,0.627609253,0.62840271,0.61706543,0.622314453,0.622594198
Peach,31,32,1,0.762413025,0.785942078,0.805107117,0.831138611,0.851547241,0.870941162,0.882926941,0.890228271,0.900390625,0.906593323,0.89907074,0.61328125,0.568649292,0.537361145,0.521392822,0.51108551,0.514083862,0.534515381,0.514648438,0.531616211,0.511978149,0.519414266
Peach,32,33,1,0.775787354,0.811515808,0.838020325,0.867378235,0.880508423,0.901000977,0.914382935,0.925994873,0.913269043,0.850265503,0.896509806,0.649208069,0.581726074,0.55821228,0.568733215,0.561721802,0.5675354,0.577468872,0.582122803,0.603645325,0.4897995,0.558522542
Peach,33,34,1,0.864219666,0.819801331,0.883796692,0.901229858,0.906913757,0.909934998,0.911949158,0.911102295,0.911186218,0.912338257,0.911542257,0.794952393,0.699378967,0.869476318,0.877204895,0.868789673,0.882064819,0.877204895,0.88356781,0.877624512,0.884002686,0.881731669
Peach,34,35,1,0.80796051,0.806968689,0.867706299,0.892250061,0.905052185,0.91330719,0.919456482,0.924110413,0.928283691,0.930686951,0.927693685,0.51776123,0.5651474,0.636741638,0.643531799,0.644424438,0.64339447,0.610404968,0.60093689,0.568244934,0.563163757,0.577448527
Peach,35,36,1,0.803489685,0.831977844,0.873764038,0.890396118,0.894874573,0.898414612,0.902542114,0.906410217,0.908439636,0.910385132,0.908411662,0.601654053,0.606407166,0.609329224,0.610778809,0.600311279,0.595535278,0.598861694,0.596740723,0.597007751,0.590995789,0.594914754
Peach,36,37,1,0.900444031,0.90688324,0.909751892,0.913146973,0.915336609,0.915931702,0.91255188,0.909767151,0.914550781,0.913146973,0.912488302,0.84198761,0.845001221,0.838424683,0.857978821,0.877189636,0.891403198,0.888137817,0.911239624,0.900527954,0.911857605,0.907875061
Peach,37,38,1,0.905143738,0.909591675,0.91002655,0.906333923,0.910415649,0.907218933,0.91267395,0.909484863,0.913291931,0.911262512,0.911346436,0.664649963,0.614891052,0.702812195,0.609436035,0.699630737,0.61353302,0.683227539,0.600158691,0.663795471,0.582687378,0.61554718
Peach,38,39,1,0.597366333,0.734298706,0.804534912,0.842590332,0.864143372,0.877799988,0.890808105,0.893478394,0.897460938,0.89427948,0.895072937,0.875778198,0.884353638,0.852424622,0.847114563,0.829444885,0.800361633,0.752464294,0.737014771,0.717674255,0.739143372,0.731277466
Peach,39,40,1,0.798728943,0.884902954,0.907600403,0.911407471,0.916755676,0.91784668,0.922454834,0.921455383,0.925468445,0.926322937,0.924415588,0.661392212,0.696678162,0.681152344,0.683082581,0.682945251,0.684082031,0.684745789,0.689338684,0.688995361,0.690338135,0.689557393
Peach,40,41,1,0.913017273,0.917312622,0.919715881,0.922065735,0.92250061,0.922561646,0.922874451,0.924293518,0.925010681,0.924674988,0.924659729,0.686584473,0.691604614,0.70362854,0.711364746,0.717727661,0.737045288,0.734802246,0.735321045,0.744384766,0.741088867,0.740264893
Peach,41,42,1,0.807106018,0.873786926,0.887039185,0.89541626,0.90120697,0.904777527,0.907264709,0.909103394,0.91217041,0.913261414,0.911511739,0.689460754,0.682830811,0.679374695,0.680046082,0.682533264,0.683456421,0.684959412,0.684638977,0.686470032,0.686172485,0.685760498
Peach,42,43,1,0.631568909,0.83266449,0.868560791,0.879959106,0.889663696,0.899307251,0.903892517,0.906562805,0.908576965,0.910217285,0.908452352,0.575904846,0.602226257,0.610176086,0.626556396,0.634346008,0.641685486,0.665428162,0.679389954,0.692337036,0.709159851,0.693628947
Peach,43,44,1,0.765296936,0.804145813,0.838722229,0.878860474,0.914237976,0.921607971,0.925064087,0.927474976,0.92098999,0.929443359,0.925969442,0.811515808,0.826957703,0.836776733,0.85760498,0.835777283,0.824440002,0.851730347,0.793708801,0.832321167,0.851921082,0.825983683
Peach,44,45,1,0.911819458,0.914581299,0.916236877,0.918136597,0.919326782,0.918296814,0.920227051,0.918426514,0.9220047,0.921577454,0.920669556,0.750221252,0.765686035,0.748588562,0.756454468,0.73639679,0.748527527,0.732872009,0.743392944,0.728019714,0.740631104,0.737347921
Peach,45,46,1,0.890693665,0.903213501,0.912902832,0.916595459,0.918395996,0.920196533,0.921844482,0.923103333,0.923843384,0.924797058,0.923914591,0.637313843,0.615226746,0.624168396,0.615066528,0.634605408,0.644897461,0.650588989,0.664848328,0.665496826,0.678787231,0.669710795
Peach,46,47,1,0.915588379,0.921096802,0.922325134,0.923149109,0.923873901,0.924163818,0.923484802,0.923950195,0.919700623,0.924621582,0.922757467,0.807380676,0.814292908,0.815483093,0.816230774,0.816581726,0.814674377,0.815917969,0.809371948,0.816360474,0.810562134,0.812098185
Peach,47,48,1,0.80242157,0.810623169,0.814842224,0.819770813,0.822990417,0.825439453,0.830474854,0.83568573,0.841094971,0.848648071,0.841809591,0.884689331,0.866394043,0.866127014,0.863426208,0.859817505,0.862190247,0.852035522,0.847572327,0.838523865,0.826187134,0.837427775
